10 8 72 16 82 16 60 76 88 22 16 60 80 50 72 96 14 38 86 4 72 34 62 6 18 14 90 64 32 92 
24 20 60 74 64 62 56 94 86 10 72 62 0 0 40 32 62 42 90 36 32 38 54 66 24 32 66 38 92 10 
72 50 82 28 18 30 10 86 4 38 8 22 54 60 64 6 36 92 60 52 76 30 22 36 30 38 76 14 30 18 
40 2 34 56 42 6 32 30 14 12 30 4 28 76 94 94 34 62 8 10 44 46 64 18 4 48 98 50 96 22 
66 20 86 4 90 22 32 54 4 14 8 2 62 20 58 96 88 34 0 76 74 10 68 14 34 64 66 40 20 26 
14 28 46 20 58 86 74 74 86 32 20 56 32 22 70 12 4 84 78 82 36 52 86 36 96 96 90 14 82 32 
28 64 10 54 10 80 8 70 58 90 96 54 52 38 0 44 72 74 8 38 80 84 52 64 4 80 94 26 20 56 
40 88 74 82 76 40 18 84 44 96 36 84 66 54 42 60 96 70 74 54 62 60 70 48 6 46 40 68 28 12 
2 20 46 82 18 26 8 8 16 66 82 38 16 52 68 0 66 4 78 38 16 58 16 98 86 10 46 10 20 76 
50 58 58 10 60 58 94 28 36 52 20 42 30 74 22 78 50 30 78 26 48 20 58 6 66 80 24 94 62 84 
